Hotel; Chef; CodePostal; Url
 Le Domaine de Verchant ; Damien Cousseau; 34170 ;https://www.relaischateaux.com/us/france/verchant-herault-montpellier
 Hôtel Le Chabichou Restaurants & Spa ; Michel Rochedy & Stéphane Buron; 73120 ;https://www.relaischateaux.com/us/france/chabichou-savoie-courchevel-1850
 Relais de la Poste ; Jean Coussau; 40140 ;https://www.relaischateaux.com/us/france/poste-landes-magescq
 Château de Noirieux ; Christophe Guillemot; 49125 ;https://www.relaischateaux.com/us/france/noirieux-maine-et-loire-briollay
 Au Cœur du Village Hôtel & Spa ; Cédric Heurtebise & Vincent Deforce; 74220 74220 ;https://www.relaischateaux.com/us/france/coeurduvillage-rhone-alpes-la-clusaz
 Restaurant Christopher Coutanceau ; Christopher Coutanceau; 17000 ;https://www.relaischateaux.com/us/france/coutanceau-charente-maritime-la-rochelle
 Château de Germigney ; Pierre Basso-Moro; 39600 ;https://www.relaischateaux.com/us/france/germigney-jura-port-lesney
 Maison Rostang ; Michel Rostang and Nicolas Beaumann; 75017 ;https://www.relaischateaux.com/us/france/rostang-paris
 Moulin de l’Abbaye ; Jean Michel Bardet; 24310 ;https://www.relaischateaux.com/us/france/moulin-dordogne-brantome-en-perigord
 Royal Champagne Hotel & Spa ; Jean-Denis Rieubland; 51160 ;https://www.relaischateaux.com/us/france/royalchampagne-marne-champillon
 Château de Codignat ; Mathieu Barbet; 63190 ;https://www.relaischateaux.com/us/france/codignat-puy-de-dome-bort-l-etang
 Château de Locguénolé ; Jérémie Louis; 56700 ;https://www.relaischateaux.com/us/france/locguenole-morbihan-kervignac
 Yoann Conte – Bord du Lac Hôtel Restaurant ; Yoann Conte; 74290 ;https://www.relaischateaux.com/us/france/yoannconte-haute-savoie-veyrier-du-lac
 La Maison des Bois – Marc Veyrat ; Marc Veyrat; 74230 ;https://www.relaischateaux.com/us/france/marcveyrat-haute-savoie-manigod
 Maison Decoret ; Jacques Decoret; 03200 ;https://www.relaischateaux.com/us/france/decoret-allier-vichy
 Restaurant Pierre Orsi ; Pierre Orsi; 69006 69006 ;https://www.relaischateaux.com/us/france/orsi-rhone-lyon
 Manoir de Lan-Kerellec ; Anthony Avoine; 22560 ;https://www.relaischateaux.com/us/france/lankerellec-cotes-d-armor-trebeurden
 Villa René Lalique ; Jean-Georges Klein; 67290 ;https://www.relaischateaux.com/us/france/lalique-bas-rhin
 La Réserve ; Benoit Solomiac; 81000 ;https://www.relaischateaux.com/us/france/reservealbi-tarn-albi
 Château d’Adoménil ; Cyril Leclerc; 54300 ;https://www.relaischateaux.com/us/france/adomenil-meurthe-et-moselle-luneville
 Les Maisons de Bricourt ; Olivier & Hugo Roellinger; 35350 ;https://www.relaischateaux.com/us/france/bricourt-ille-et-vilaine-saint-meloir-des-ondes
 Restaurant Guy Lassausaie ; Guy Lassausaie; 69380 ;https://www.relaischateaux.com/us/france/lassausaie-rhone-alpes-chasselay
 La Grenouillère ; Alexandre Gauthier; 62170 ;https://www.relaischateaux.com/us/france/lagrenouillere-pas-de-calais-la-madelaine-sous-montreuil
 Tiara Yaktsa ; Guillaume Anor; 06590 ;https://www.relaischateaux.com/us/france/yaktsa-alpes-maritimes-theoule-sur-mer
 Domaine de Rochevilaine ; Maxime Nouail; 56190 ;https://www.relaischateaux.com/us/france/rochevilaine-morbihan-billiers
 Le Couvent des Minimes Hôtel & Spa L'Occitane ; Jérôme ROY; 04300 ;https://www.relaischateaux.com/us/france/minimes-alpes-de-haute-provence-mane
 Le Petit Nice-Passedat ; Gérald Passedat; 13007 13007 ;https://www.relaischateaux.com/us/france/passedat-bouches-du-rhone-marseille
 Domaine de la Bretesche Golf & Spa ; Frédéric Murati; 44780 ;https://www.relaischateaux.com/us/france/bretesche-loire-atlantique-missillac
 Georges Blanc Parc & Spa ; Georges Blanc; 01540 ;https://www.relaischateaux.com/us/france/blanc-ain-vonnas
 Château de Montreuil ; Jean-Marie Le Guen; 62170 ;https://www.relaischateaux.com/us/france/montreuil-pas-de-calais-montreuil
